AA,LCN,Πεδίο
278,10044599,676 ## $a 889.092
,,676 ## $a 889.2 $v Ελλ. έκδ.
279,10044870,676 ## $a 786.218945 $v 22η έκδ.
,,676 ## $a 786.2 $v 23η έκδ.
280,10044892,676 ## $a 787.871875 $v 21η έκδ.
,,676 ## $a 787.87 $v 23η έκδ.
281,10044893,676 ## $a 787.871875 $v 21η έκδ.
,,676 ## $a 787.87 $v 23η έκδ.
282,10045016,676 ## $a 889.21
,,676 ## $a 889.209 $v Ελλ. έκδ.
283,10045217,676 ## $a 938.5095 $v Ελλ. έκδ.
,,676 ## $a 327.47 $v 22η έκδ.
284,10045426,676 ## $a 889.12 $v Ελλ. έκδ.
,,676 ## $a 889.155 $v Ελλ. έκδ.
285,10045635,676 ## $a 780 $v 21η έκδ.
,,686 ## $a ΠΕ
286,10045664,676 ## $a 780 $v 21η έκδ.
,,686 ## $a ΠΕ
287,10045665,676 ## $a 780 $v 21η έκδ.
,,686 ## $a ΠΕ
288,10045684,676 ## $a 780 $v 21η έκδ.
,,686 ## $a ΠΕ
289,10045697,676 ## $a 780 $v 21η έκδ.
,,686 ## $a ΠΕ
290,10045815,676 ## $a 780 $v 20η έκδ.
,,686 ## $a ΠΕ
291,10045818,676 ## $a 780 $v 21η έκδ.
,,686 ## $a ΠΕ
292,10045820,676 ## $a 780 $v 21η έκδ.
,,686 ## $a ΠΕ
293,10046304,676 ## $a 182 $v 21η εκδ.
,,676 ## $a 182.03 $v 22η έκδ.
294,10046639,676 ## $a 808.1 $v 22η εκδ.
,,676 ## $a 808.109495 $v 22η έκδ.
295,10047177,676 ## $a 889.092 $v 21η εκδ.
,,676 ## $a 889.2 $v Ελλ. έκδ.
296,10047302,676 ## $a 889.109 $v 21η εκδ.
,,676 ## $a 889.209 $v 22η έκδ.
297,10047385,676 ## $a 016.7809495 $v 22η εκδ.
,,676 ## $a 016.78094950266 $v 22η έκδ.
298,10047931,676 ## $a 792.109495 $v 22 έκδ.
,,676 ## $a 792.09495 $v 22η έκδ.
299,10048203,676 ## $a 936 $v 22
,,676 ## $a 940 $v 23η έκδ.
300,10048345,676 ## $a 780.9495 $v 22η έκδ.
,,676 ## $a 780.938 $v 22η έκδ.
301,10048362,676 ## $a 780.94955 $v 22η έκδ.
,,676 ## $a 780.944955 $v 22η έκδ.
302,10048558,676 ## $a 306.09495 $v 22η έκδ.
,,676 ## $a 938.001 $v Ελλ. έκδ.
303,10048626,676 ## $a 920.09495 $v 22η έκδ.
,,676 ## $a 780.92 $v 22η έκδ.
304,10048770,676 ## $a 889.08 $v 22η έκδ.
,,676 ## $a 889.209 $v Ελλ. έκδ.
305,10048949,676 ## $a 781.7119 $v 22η έκδ.
,,676 ## $a 781.7119071 $v 22η έκδ.
306,10048973,676 ## $a 889.21 $v Ελλ. έκδ.
,,676 ## $a 889.209 $v Ελλ. έκδ.
307,10049493,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ. 1
308,10049495,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ. 1
309,10049496,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ. 1
310,10049497,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ. 1
311,10049520,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ. 1
312,10049741,676 ## $a 411.7 $v 22
,,676 ## $a 481.1 $v 22η έκδ.
313,10050525,676 ## $a 297.272 $v 22η έκδ.
,,676 ## $a 297.4 $v 23η έκδ.
314,10050540,676 ## $a 889.07 $v Ελλ. έκδ.
,,676 ## $a 889.2 $v Ελλ. έκδ.
315,10050555,676 ## $a 025.061 5 $v 22η έκδ.
,,676 ## $a 025.066 168 9 $v 22η έκδ.
316,10050754,676 ## $a 938.9945 $v Ελλ. έκδ.
,,676 ## $a 938.309 $v Ελλ. έκδ.
317,10050791,676 ## $a 938.4 $v Ελλ. έκδ.
,,676 ## $a 938.003 $v Ελλ. έκδ.
318,10051156,676 ## $a 704.94978 $v 22η έκδ.
,,676 ## $a 780.07 $v 22η έκδ.
319,10051193,676 ## $a 784.19123 $v 22η έκδ.
,,676 ## $a 784.19 $v 22η έκδ.
320,10051690,686 ## $a ΦΑΚ. 10
,,686 ## $a ΦΑΚ. 14
321,10051877,676 ## $a 792.109495 $v 22η έκδ.
,,676 ## $a 792.09495 $v 22η έκδ.
322,10052028,676 ## $a 920 $v 22η εκδ.
,,676 ## $a 889.21 $v Ελλ. έκδ.
323,10052695,676 ## $a 535.01 $v 22η έκδ.
,,676 ## $a 535.019 $v 22η έκδ.
324,10052884,676 ## $a 306.446 $v 22η έκδ.
,,676 ## $a 306 $v 22η έκδ.
325,10053509,676 ## $a 701 $v 22η εκδ.
,,676 ## $a 700.1 $v 22η έκδ.
326,10053666,676 ## $a 783.13 $v 22η έκδ.
,,686 ## $a ΦΑΚ 14
327,10053667,676 ## $a 785.28193 $v 22η έκδ.
,,686 ## $a ΦΑΚ. 14
328,10053668,676 ## $a 782.5 $v 22η έκδ.
,,686 ## $a ΦΑΚ 14
329,10053669,676 ## $a 782.5 $v 22η έκδ.
,,686 ## $a ΦΑΚ 14
330,10053670,676 ## $a 782.5 $v 22η έκδ.
,,686 ## $a ΦΑΚ 14
331,10053671,676 ## $a 782.5 $v 22η έκδ.
,,686 ## $a ΦΑΚ 14
332,10053673,676 ## $a 782.5 $v 22η έκδ.
,,686 ## $a ΦΑΚ 14
333,10053678,676 ## $a 782.5 $v 22η έκδ.
,,686 ## $a ΦΑΚ 14
334,10053679,676 ## $a 782.5 $v 22η έκδ.
,,686 ## $a ΦΑΚ 14
335,10053680,676 ## $a 782.5 $v 22η έκδ.
,,686 ## $a ΦΑΚ 14
336,10053681,676 ## $a 782.5 $v 22η έκδ.
,,686 ## $a ΦΑΚ 14
337,10053683,676 ## $a 782.5 $v 22η έκδ.
,,686 ## $a ΦΑΚ 14
338,10053684,676 ## $a 782.5 $v 22η έκδ.
,,686 ## $a ΦΑΚ 14
339,10053685,676 ## $a 782.5 $v 22η έκδ.
,,686 ## $a ΦΑΚ 14
340,10053687,676 ## $a 782.5 $v 22η έκδ.
,,686 ## $a ΦΑΚ 14
341,10053689,676 ## $a 787.87 $v 22η έκδ.
,,686 ## $a ΦΑΚ.14
342,10053691,676 ## $a 782.5 $v 22η έκδ.
,,686 ## $a ΦΑΚ 14
343,10053699,676 ## $a 781.286 $v 22η έκδ.
,,686 ## $a ΦΑΚ. 14
344,10053712,676 ## $a 782.27 $v 22η έκδ.
,,686 ## $a ΦΑΚ 14
345,10053713,676 ## $a 782.27 $v 22η έκδ.
,,686 ## $a ΦΑΚ 14
346,10053719,676 ## $a 782.43 $v 22η έκδ.
,,686 ## $a ΦΑΚ 14
347,10053721,676 ## $a 782.42 $v 22η έκδ.
,,686 ## $a ΦΑΚ. 14
348,10053729,676 ## $a 788.62 $v 22η έκδ.
,,686 ## $a ΦΑΚ 14
349,10053731,676 ## $a 786.2 $v 22η έκδ.
,,686 ## $a ΦΑΚ 14
350,10053736,676 ## $a 782.27 $v 22η έκδ.
,,686 ## $a ΦΑΚ. 14
351,10053738,676 ## $a  783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ.14
352,10053740,676 ## $a 782.27 $v 22η έκδ.
,,686 ## $a ΦΑΚ.14
353,10053741,676 ## $a 782.27 $v 22η έκδ.
,,686 ## $a ΦΑΚ.14
354,10053743,676 ## $a 782.27 $v 22η έκδ.
,,686 ## $a ΦΑΚ.14
355,10053745,676 ## $a 781.599 $v 22η έκδ.
,,686 ## $a ΦΑΚ.14
356,10053748,676 ## $a 785.7194 $v 22η έκδ.
,,686 ## $a ΦΑΚΕΛΟΣ 14
357,10053751,676 ## $a 784.1872. $v 22η εκδ.
,,686 ## $a ΦΑΚΕΛΟΣ 14
358,10053752,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ. 14
359,10053753,676 ## $a 788.96071 $v 22η έκδ.
,,686 ## $a ΦΑΚ. 14
360,10053755,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ. 14
361,10053760,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ. 14
362,10053765,676 ## $a 786.2 $v 22η έκδ.
,,686 ## $a ΦΑΚ. 14
363,10053769,676 ## $a 782.51552 $v 22η έκδ.
,,686 ## $a ΦΑΚ. 14
364,10053770,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ.14
365,10053772,676 ## $a 785 $v 22η έκδ.
,,686 ## $a ΦΑΚ. 14
366,10053773,676 ## $a 781.25 $v 22η έκδ.
,,686 ## $a ΦΑΚ. 14
367,10053774,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ. 14
368,10053775,676 ## $a 810.11 $v 22η έκδ.
,,686 ## $a DAMP $v 22η έκδ.
369,10053781,676 ## $a 786.2 $v 22η έκδ.
,,686 ## $a ΦΑΚ 14
,,686 ## $a ΦΑΚ.15
370,10053788,676 ## $a 781.57 $v 22η έκδ.
,,686 ## $a ΦΑΚ.14
371,10053849,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
372,10053850,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
373,10053851,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
374,10053852,676 ## $a 781.62 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
375,10053853,676 ## $a 781.62 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
376,10053855,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
377,10053857,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
378,10053859,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
379,10053863,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
380,10053865,676 ## $a 786.21825 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
381,10053869,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
382,10053887,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
383,10053888,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
384,10053889,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
385,10053890,676 ## $a 782.26 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
386,10053895,676 ## $a 786.21825 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
387,10053911,676 ## $a 786.2 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
388,10053917,676 ## $a 786.21825 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
389,10053921,676 ## $a 786.21885 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
390,10053928,676 ## $a 786.2 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
391,10053931,676 ## $a 787.84 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
392,10053933,676 ## $a 786.21897 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
393,10053936,676 ## $a 786.2 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
394,10053937,676 ## $a 786.21858 $v 22η έκδ.
,,686 ## $a ΦΑΚΕΛΟΣ 15
395,10053938,676 ## $a 784.82 $v 22η έκδ.
,,686 ## $a ΦΑΚΕΛΟΣ 15
396,10053940,676 ## $a 782.27 $v 22η έκδ.
,,686 ## $a ΦΑΚΕΛΟΣ 15
397,10053948,676 ## $a 786.218844 $v 22η έκδ.
,,686 ## $a ΦΑΚΕΛΟΣ 15
398,10053960,676 ## $a 786.218966 $v 22η έκδ.
,,686 ## $a ΦΑΚ. 15
399,10053972,676 ## $a 784.82 $v 22η έκδ.
,,686 ## $a ΦΑΚΕΛΟΣ 15
400,10053975,676 ## $a 784.8 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
401,10054054,676 ## $a 784.82 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
402,10054068,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
403,10054079,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
404,10054086,676 ## $a 784.818945 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
405,10054090,676 ## $a 784.81897 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
406,10054092,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
407,10054102,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
408,10054118,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
409,10054121,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
410,10054126,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
411,10054139,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
412,10054146,676 ## $a 292.08 $v 22η έκδ.
,,676 ## $a 292.13 $v 22η έκδ.
413,10054147,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
414,10054149,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
415,10054155,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
416,10054161,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
417,10054166,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
418,10054168,676 ## $a 786.2 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
419,10054179,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
420,10054181,676 ## $a 786.218844 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
421,10054182,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
422,10054183,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
423,10054186,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
424,10054188,676 ## $a 786.218844 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
425,10054189,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ15
426,10054190,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
427,10054192,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
428,10054193,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
429,10054195,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
430,10054196,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
431,10054198,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
432,10054199,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
433,10054202,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
434,10054203,676 ## $a 786.218846 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
435,10054204,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
436,10054205,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
437,10054206,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
438,10054208,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
439,10054209,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
440,10054210,676 ## $a 783.2435 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
441,10054211,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
442,10054212,676 ## $a 786.21825 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
443,10054222,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
444,10054223,676 ## $a 786.21897 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
445,10054227,676 ## $a 782.12 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
446,10054228,676 ## $a 782.12 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
447,10054230,676 ## $a 786.218846 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
448,10054233,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
449,10054236,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
450,10054239,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
451,10054245,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
452,10054246,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
453,10054247,676 ## $a 786.21897 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
454,10054248,676 ## $a 786.2 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
455,10054249,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
456,10054251,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
457,10054252,676 ## $a 781.72 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
458,10054257,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
459,10054259,676 ## $a 787.2 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
460,10054284,676 ## $a 786.2 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
461,10054286,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 15
462,10054306,676 ## $a 788.32 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
463,10054308,676 ## $a 787.84 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
464,10054311,676 ## $a 785.7194 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
465,10054312,676 ## $a 785.24196 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
466,10054313,676 ## $a 787.2 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
467,10054315,676 ## $a 787.84 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
468,10054316,676 ## $a 787.84 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
469,10054318,676 ## $a 787.87 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
470,10054320,676 ## $a 787.87 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
471,10054323,676 ## $a 787.87 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
472,10054324,676 ## $a 787.87 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
473,10054325,676 ## $a 785.28193 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
474,10054327,676 ## $a 787.87 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
475,10054329,676 ## $a 787.87 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
476,10054330,676 ## $a 787.87 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
477,10054331,676 ## $a 787.2 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
478,10054333,676 ## $a 784.87 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
479,10054334,676 ## $a 787.2 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
480,10054335,676 ## $a 787.2 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
481,10054336,676 ## $a 787.2 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
482,10054337,676 ## $a 787.2 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
483,10054338,676 ## $a 787.2 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
484,10054340,676 ## $a 787.2 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
485,10054342,676 ## $a 787.2 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
486,10054350,676 ## $a 788.62 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
487,10054353,676 ## $a 786.2 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
488,10054354,676 ## $a 786.2 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
489,10054355,676 ## $a 788.62 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
490,10054356,676 ## $a 786.218846 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
491,10054358,676 ## $a 784.2 $v 22η έκδ.
,,686 ## $a ΦΑΚ 17
492,10054360,676 ## $a 786.2 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
493,10054362,676 ## $a 787.4 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
494,10054370,676 ## $a 787.218966 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
495,10054371,676 ## $a 788.32 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
496,10054372,676 ## $a 787.2 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
497,10054374,676 ## $a 787.2 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
498,10054375,676 ## $a 787.2 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
499,10054376,676 ## $a 787.2 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
500,10054377,676 ## $a 787.218966 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
501,10054379,676 ## $a 787.84 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
502,10054380,676 ## $a 782.1 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
503,10054382,676 ## $a 782.1 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
504,10054383,676 ## $a 784.2184 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
505,10054384,676 ## $a 782.1 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
506,10054385,676 ## $a 782.1 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
507,10054386,676 ## $a 784.2184 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
508,10054391,676 ## $a 781.72 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
509,10054392,676 ## $a 781.72 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
510,10054393,676 ## $a 781.72 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
511,10054394,676 ## $a 781.72 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
512,10054396,676 ## $a 781.72 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
513,10054397,676 ## $a 781.72 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
514,10054399,676 ## $a 781.72 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
515,10054400,686 ## $a ΦΑΚ16
,,686 ## $a ΦΑΚ 18
516,10054407,676 ## $a 781.72 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
517,10054408,676 ## $a 781.72 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
518,10054411,676 ## $a 781.72 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
519,10054412,676 ## $a 781.72 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
520,10054413,676 ## $a 781.72 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
521,10054416,676 ## $a 781.72 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
522,10054418,676 ## $a 781.72 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
523,10054419,676 ## $a 781.72 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
524,10054420,676 ## $a 781.72 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
525,10054422,676 ## $a 781.72 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
526,10054423,676 ## $a 782.3232 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
527,10054424,676 ## $a 781.72 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
528,10054425,676 ## $a 781.72 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
529,10054426,676 ## $a 781.72 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
530,10054427,676 ## $a 787.82 $v 22η έκδ.
,,686 ## $a ΦΑΚ 16
531,10054429,676 ## $a 784.2184 $v 22η έκδ.
,,686 ## $a ΦΑΚ 18
532,10054446,676 ## $a 787.2185 $v 22η έκδ.
,,686 ## $a ΦΑΚ 19
533,10054447,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 19
534,10054448,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 19
535,10054449,676 ## $a 785 $v 22η έκδ.
,,686 ## $a ΦΑΚ 19
536,10054451,676 ## $a 784.2 $v 22η έκδ.
,,686 ## $a ΦΑΚ 19
537,10054452,676 ## $a 784.2 $v 22η έκδ.
,,686 ## $a ΦΑΚ 19
538,10054453,676 ## $a 784.8 $v 22η έκδ.
,,686 ## $a ΦΑΚ 19
539,10054454,676 ## $a 784.81897 $v 22η έκδ.
,,686 ## $a ΦΑΚ 19
540,10054455,676 ## $a 784.8 $v 22η έκδ.
,,686 ## $a ΦΑΚ 19
541,10054456,676 ## $a 782.27 $v 22η έκδ.
,,686 ## $a ΦΑΚ 19
542,10054463,676 ## $a 784.2 $v 22η έκδ.
,,686 ## $a ΦΑΚ 19
543,10054487,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 17
544,10054488,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 17
545,10054489,676 ## $a 787.87 $v 22η έκδ.
,,686 ## $a ΦΑΚ 17
546,10054490,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 17
547,10054491,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 17
548,10054493,676 ## $a 784.91897 $v 22η έκδ.
,,686 ## $a ΦΑΚ 17
549,10054495,676 ## $a 784.81897 $v 22η έκδ.
,,686 ## $a ΦΑΚ 17
550,10054496,676 ## $a 784.8 $v 22η έκδ.
,,686 ## $a ΦΑΚ 17
551,10054497,676 ## $a 787.84 $v 22η έκδ.
,,686 ## $a ΦΑΚ 17
552,10054499,676 ## $a 784.818967 $v 22η έκδ.
,,686 ## $a ΦΑΚ 17
553,10054502,676 ## $a 784.8 $v 22η έκδ.
,,686 ## $a ΦΑΚ 17
554,10054503,676 ## $a 784.81897 $v 22η έκδ.
,,686 ## $a ΦΑΚ 17
555,10054505,676 ## $a 784.8 $v 22η έκδ.
,,686 ## $a ΦΑΚ 17
556,10054506,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 17
557,10054509,676 ## $a 784.2184 $v 22η έκδ.
,,686 ## $a ΦΑΚ 17
558,10054510,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 17
559,10054516,676 ## $a 784.7184 $v 22η έκδ.
,,686 ## $a ΦΑΚ 17
560,10054517,676 ## $a 784.7184 $v 22η έκδ.
,,686 ## $a ΦΑΚ 17
561,10054518,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 17
562,10054519,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 17
563,10054521,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 17
564,10054522,676 ## $a 783.243 $v 22η έκδ.
,,686 ## $a ΦΑΚ 17
565,10054524,676 ## $a 787.87 $v 22η έκδ.
,,686 ## $a ΦΑΚ 17
566,10054525,676 ## $a 785.28193 $v 22η έκδ.
,,686 ## $a ΦΑΚ 17
567,10054600,676 ## $a 937 $v 22η εκδ.
,,676 ## $a 185 $v 22η έκδ.
568,10056070,676 ## $a 781.0938 $v 22η έκδ.
,,676 ## $a 780.938 $v 22η έκδ.
